"id","qrcode","display","group","uid"
"1","A242701-9000000085-RCA","W0JEZAWR","4","kldc2cca7c5b6c8"
"2","A242701-9000000288-RCA","W0JEZAQE","4","kl297badf006b3d"
"3","A242701-9000000342-RCA","W0JEZAMV","4","klbefae956bd638"
"4","A242701-9000000614-RCA","W0JEZAEC","4","kl4e4fcb0f976fd"
"5","A242701-9000000817-RCA","W0JEZA7W","4","kl82f9912546c71"
"6","A242701-9000001772-RCA","W0JEZC91","4","klc1e8e840d7931"
"7","A242701-9000002353-RCA","W0JEZ8QW","4","klf4f70391c62bb"
"8","A242701-9000002612-RCA","W0JEZ8GT","4","kl9a3ef1cc00bae"
"9","A242701-9000003288-RCA","W0JEZ9RN","4","kl93439b38bff16"
"10","A242701-9000003857-RCA","W0JEZ96W","4","klb4a5932ab40b6"
"11","A242701-9000004049-RCA","W0JEZ90W","4","kl961bd2d985bc4"
"12","A242701-9000004398-RCA","W0JEZFQ3","4","kl5550850854f0e"
"13","A242701-9000005489-RCA","W0JEZGNW","4","kl241fb6dc765f9"
"14","A242701-9000005595-RCA","W0JEZGHP","4","kl779c0455fef87"
"15","A242701-9000005930-RCA","W0JEZG77","4","kldeaaa6bd395d4"
"16","A242701-9000006296-RCA","W0JEZDUN","4","kl884dfcf1ddb62"
"17","A242701-9000006300-RCA","W0JEZDUJ","4","kl6b2f3cd340c72"
"18","A242701-9000007033-RCA","W0JEZD5M","4","kl437386b20707b"
"19","A242701-9000007284-RCA","W0JEZEXT","4","kl07aa75be03e5b"
"20","A242701-9000007645-RCA","W0JEZEHH","4","kl1b8e76df28a80"
"21","A242701-9000007846-RCA","W0JEZECC","4","kl3d00a7e3c1806"
"22","A242701-9000007941-RCA","W0JEZE68","4","klf034a4799f0cf"
"23","A242701-9000008824-RCA","W0JEZ2EN","4","kl571a2d7750500"
"24","A242701-9000008826-RCA","W0JEZ2EQ","4","kld751df851313e"
"25","A242701-9000009433-RCA","W0JEZ3RM","4","klc8544c635d919"
"26","A242701-9000009588-RCA","W0JEZ3NT","4","kl9bad33b445a00"
"27","A242701-9000009768-RCA","W0JEZ3G5","4","kl6562b68b44209"
"28","A242701-9000009872-RCA","W0JEZ3AX","4","kl11e07f7c89707"
"29","A242701-9000011118-RCA","W0JEZ053","4","klaf0ab0412cf42"
"30","A242701-9000011220-RCA","W0JEZ00T","4","kl203df7cda8549"
"31","A242701-9000011376-RCA","W0JEZ1XX","4","kl5dcc965a6a1c6"
"32","A242701-9000011816-RCA","W0JEZ1G5","4","kl1a00d2c5b1040"
"33","A242701-9000012222-RCA","W0JEZ13L","4","kl3935f9df7d5d8"
"34","A242701-9000012603-RCA","W0JEZ6QP","4","klbdb66a05260d9"
"35","A242701-9000012853-RCA","W0JEZ6GR","4","klfa317cb8fc139"
"36","A242701-9000012971-RCA","W0JEZ6C6","4","kl3e7738a970b6a"
"37","A242701-9000012975-RCA","W0JEZ6C2","4","kle0114bfaf732b"
"38","A242701-9000013643-RCA","W0JEZ7M6","4","klb2e0b60d5cb03"
"39","A242701-9000014136-RCA","W0JEZ77N","4","kl8e0b44d469e54"
"40","A242701-9000014478-RCA","W0JEZ4U3","4","kl84ca4d3734cef"
"41","A242701-9000014690-RCA","W0JEZ4NG","4","klafe67970dec2b"
"42","A242701-9000014706-RCA","W0JEZ4NZ","4","kl7f470a659939c"
"43","A242701-9000014984-RCA","W0JEZ4A5","4","klef33a08f49e03"
"44","A242701-9000014998-RCA","W0JEZ4AV","4","kl2b37d2c16a751"
"45","A242701-9000015097-RCA","W0JEZ49M","4","kl9e83afb2368b9"
"46","A242701-9000015676-RCA","W0JEZ5QJ","4","klbe646cd759b80"
"47","A242701-9000016272-RCA","W0JEZ52X","4","kl4b6ebdb123fbf"
"48","A242701-9000016467-RCA","W0JEZUWY","4","kla5a21185a27f6"
"49","A242701-9000016496-RCA","W0JEZUXX","4","kl3463c038d2a0a"
"50","A242701-9000016575-RCA","W0JEZUVK","4","kl23255a5ba0193"
"51","A242701-9000017347-RCA","W0JEZU0F","4","kla3d731deae7c9"
"52","A242701-9000017850-RCA","W0JEZVLQ","4","kl2e268011c6a4f"
"53","A242701-9000017942-RCA","W0JEZVFV","4","kl6ee1b35d9dad4"
"54","A242701-9000018413-RCA","W0JEZV10","4","kl738ac1301f779"
"55","A242701-9000018854-RCA","W0JEZRLC","4","kl83eb29cf421c1"
"56","A242701-9000018914-RCA","W0JEZRJG","4","kl90e49801b1976"
"57","A242701-9000019310-RCA","W0JEZR53","4","klfb757d6f77fb9"
"58","A242701-9000019672-RCA","W0JEZTRN","4","kl98a58c0566416"
"59","A242701-9000020064-RCA","W0JEZTEE","4","kl0c776745a0410"
"60","A242701-9000020431-RCA","W0JEZT02","4","klb325f7bdc4e85"
"61","A242701-9000020441-RCA","W0JEZT0M","4","kld041d7c68b0ac"
"62","A242701-9000021150-RCA","W0JEZYAL","4","kl754a9ab9f5f4c"
